,Data,AMAZONAS_ena,ARAGUARI_ena,CAPIVARI_ena,DOCE_ena,GRANDE_ena,IGUACU_ena,ITABAPOANA_ena,ITAJAI_ena,JACUI_ena,JEQUITINHONHA_ena,MUCURI_ena,PARAGUACU_ena,PARAGUAI_ena,PARAIBA_ena,PARANA_ena,PARANAIBA_ena,PARANAPANEMA_ena,PARNAIBA_ena,SFRANCISCO_ena,TIETE_ena,TOCANTINS_ena,URUGUAI_ena
166,2021-06-16,12418.92382813,1045.85803223,66.10399628,299.08499146,1794.38098145,920.94702148,32.42200089,108.1210022,671.96801758,54.50400162,4.5,6.63399982,330.34298706,555.44897461,7482.34619141,1863.62097168,687.83197021,93.92299652,1769.93896484,527.97802734,3566.40795898,2101.88110352
167,2021-06-17,12326.36914063,1042.8659668,69.55000305,301.52301025,1749.2869873,906.53302002,32.23699951,100.82900238,613.26599121,53.43099976,4.08500004,7.40600014,320.70098877,549.78198242,7456.93310547,1860.58898926,667.47198486,92.71399689,1763.72302246,520.93200684,3363.78393555,1846.48901367
168,2021-06-18,12010.31542969,1033.23205566,84.48000336,292.35299683,1695.30895996,952.96697998,32.0,94.49900055,515.10198975,52.02899933,4.17399979,9.64500046,316.02099609,533.79302979,7425.71289063,1857.71704102,639.04101563,92.20899963,1768.08398438,512.26501465,3304.23901367,1709.4909668
169,2021-06-19,11520.74414063,999.80999756,109.55699921,296.99700928,1640.31201172,1122.29199219,32.67499924,107.4260025,495.32800293,51.62900162,3.76799989,12.32999992,314.29598999,536.42602539,7389.0859375,1838.09899902,620.96801758,92.46499634,1770.44396973,507.0039978,3264.65698242,1941.5760498
170,2021-06-20,10953.22265625,959.57702637,173.04499817,292.83099365,1590.40405273,1548.07202148,32.81000137,393.47198486,542.64801025,50.4280014,3.64700007,15.06200027,314.46499634,523.21398926,7355.57519531,1805.21704102,642.82397461,92.05400085,1773.8659668,507.71499634,3192.68505859,3193.24804688
171,2021-06-21,10376.15136719,923.72497559,147.20300293,295.18200684,1546.80200195,2112.70410156,32.13499832,432.18099976,658.01000977,47.77299881,3.625,17.64599991,315.25299072,525.84002686,7298.27978516,1771.19604492,682.77301025,91.64299774,1774.33105469,514.94396973,3117.34301758,3967.65991211
172,2021-06-22,9869.37695313,901.65600586,130.61300659,295.25601196,1515.83300781,2312.01611328,31.32600021,310.95498657,621.27398682,46.1269989,3.43700004,18.85300064,315.12701416,532.93798828,7220.67919922,1737.02697754,782.07800293,91.79399872,1764.63903809,521.86602783,3064.99511719,4153.88183594
173,2021-06-23,9457.66601563,885.39898682,116.95800018,290.64498901,1498.69104004,2327.04296875,31.51099968,220.5039978,576.96398926,46.07099915,3.23600006,18.17499924,313.75900269,545.58001709,7109.15185547,1713.85803223,904.71697998,91.21700287,1744.89697266,525.12200928,3050.11010742,3771.96289063
174,2021-06-24,9140.47265625,862.90002441,102.72899628,287.28900146,1486.05004883,2330.67797852,31.59600067,173.78900146,631.88201904,46.86000061,3.125,17.30200005,311.93099976,543.21002197,7024.43798828,1707.40405273,953.14001465,90.69300079,1722.11804199,524.90100098,2987.64599609,3237.46606445
175,2021-06-25,8841.93457031,878.34997559,95.51899719,278.58300781,1481.01794434,2347.26489258,31.13999939,160.82699585,1148.34594727,45.32899857,3.09800005,15.66600037,311.125,542.4699707,6992.46484375,1691.66796875,971.22998047,90.89700317,1709.21398926,522.96600342,2911.10302734,3024.52294922
176,2021-06-26,8546.89648438,837.00097656,87.79799652,275.72299194,1478.35095215,2355.36010742,30.71800041,146.43800354,2047.20898438,43.65399933,3.11100006,13.86400032,309.33898926,551.7800293,6999.72998047,1670.4630127,965.98101807,89.93199921,1705.96203613,518.55200195,2927.19799805,2867.36791992
177,2021-06-27,8282.04492188,810.91101074,89.20200348,275.2829895,1481.2130127,2353.84692383,29.55400085,133.38600159,3619.04907227,42.40999985,3.16899991,12.17300034,308.18099976,540.56402588,6994.49609375,1648.62097168,939.24401855,89.31400299,1703.28405762,509.45401001,2868.75390625,3624.60693359
178,2021-06-28,8047.81591797,787.82098389,89.20200348,270.32199097,1478.11303711,2394.76196289,28.69400024,383.25601196,3828.86010742,42.48199844,3.16899991,10.70400047,307.55801392,528.25799561,6873.89208984,1630.81103516,890.63702393,88.83200073,1690.60400391,507.9750061,2801.94702148,5303.62402344
179,2021-06-29,7943.22021484,766.13299561,92.71199799,276.4289856,1473.22705078,2662.24511719,28.87999916,697.49200439,2829.7409668,41.84600067,3.23200011,8.95699978,307.31100464,513.86297607,6807.61523438,1615.16796875,838.88000488,88.77100372,1688.88598633,503.88699341,2766.04003906,6727.10888672
180,2021-06-30,7998.32519531,732.0949707,94.24299622,266.82299805,1460.40698242,3010.06591797,28.81200027,651.06201172,1903.5090332,41.35300064,3.2190001,7.93499994,306.72900391,498.9710083,6733.14697266,1608.55895996,800.94396973,87.91200256,1672.72998047,494.54598999,2743.15698242,6786.2890625
181,2021-07-01,8149.04492188,712.71398926,91.7539978,264.65301514,1443.91601563,3099.17797852,29.11599922,492.21499634,1430.8470459,41.24700165,3.55800009,7.34100008,306.50201416,489.89498901,6655.48291016,1598.96203613,779.92999268,87.21800232,1665.98803711,482.05999756,2682.92797852,5844.11621094
182,2021-07-02,8289.98242188,697.94799805,89.77600098,262.4630127,1433.98303223,3022.7980957,29.16699982,286.36801147,1159.47302246,41.89199829,3.852,6.90399981,306.62799072,473.7539978,6582.51318359,1598.92297363,761.63598633,86.80799866,1654.20898438,476.85101318,2662.52587891,4829.49707031
183,2021-07-03,8434.57617188,704.77600098,88.05400085,256.04598999,1430.29797363,2910.52490234,28.65999985,203.65400696,996.76202393,42.83800125,3.86599994,6.63399982,307.00299072,464.62200928,6498.87402344,1585.0880127,744.58898926,86.96600342,1642.27294922,471.76901245,2640.07397461,4009.11694336
184,2021-07-04,8446.734375,718.02001953,85.05500031,256.10699463,1421.24499512,2809.91210938,27.1760006,166.90699768,836.14898682,41.20700073,3.83899999,6.579,307.23001099,452.72299194,6443.12597656,1566.19897461,730.34899902,86.25700378,1638.3380127,464.69400024,2543.55297852,3409.95800781
185,2021-07-05,8246.02441406,759.40698242,84.22499847,255.08000183,1405.37304688,2679.63208008,26.09600067,147.02600098,744.63500977,40.65599823,3.77699995,6.68100023,305.80700684,446.30099487,6400.66113281,1553.45397949,700.45300293,86.38500214,1633.36303711,461.74798584,2505.85205078,2971.1640625
186,2021-07-06,7933.19482422,781.16101074,82.88500214,249.58399963,1394.01501465,2508.20410156,26.46699905,135.74000549,690.12799072,40.14799881,4.48600006,6.625,304.39498901,440.58401489,6342.73486328,1545.59094238,683.17901611,85.74099731,1632.72802734,462.89498901,2494.62792969,2670.89501953
187,2021-07-07,7628.77685547,803.53997803,83.26799774,256.6539917,1387.12902832,2308.7409668,26.68700027,127.6269989,627.95300293,40.27799988,4.90600014,6.67199993,302.45700073,442.43099976,6292.13476563,1532.1920166,667.52301025,85.97499847,1626.4630127,462.45901489,2426.56591797,2434.86694336
188,2021-07-08,7326.0859375,827.17901611,83.65100098,247.79400635,1381.79199219,2105.79589844,23.09399986,121.17299652,608.45898438,40.17100143,4.98600006,6.59700012,300.67700195,445.2749939,6239.84619141,1521.01794434,652.09802246,85.55599976,1612.78894043,455.15200806,2383.01611328,2243.04394531
189,2021-07-09,7036.546875,842.43597412,82.69400024,255.2440033,1371.86804199,1915.68005371,24.79700089,112.38200378,543.98999023,40.6230011,4.96400023,6.34600019,298.4289856,453.00601196,6198.54199219,1508.13598633,641.35699463,84.33899689,1601.57397461,452.90301514,2415.04199219,2057.44897461
190,2021-07-10,6762.56591797,849.96002197,82.05599976,260.40600586,1349.97595215,1751.57495117,25.31999969,103.93099976,519.55102539,40.38700104,4.96799994,6.09600019,296.60198975,452.04800415,6122.296875,1494.42297363,627.58898926,84.45200348,1588.27099609,448.09100342,2360.66601563,1937.00598145
191,2021-07-11,6510.13476563,844.10998535,81.35399628,261.94299316,1340.55700684,1621.51501465,24.30800056,97.45899963,500.91500854,38.29700089,5.00400019,5.94700003,295.15600586,449.41299438,6088.94189453,1480.13903809,627.72698975,84.10900116,1575.69702148,445.83300781,2320.17797852,1824.70605469
192,2021-07-12,6274.00585938,825.43902588,82.18299866,265.16699219,1324.7869873,1518.84802246,23.75200081,91.02200317,479.12399292,40.50999832,4.96000004,5.9380002,294.82598877,443.5920105,6008.11621094,1468.91003418,626.79101563,83.01999664,1566.73205566,438.17098999,2304.63696289,1742.26196289
193,2021-07-13,6077.12402344,780.309021,82.375,268.86599731,1324.41699219,1443.91003418,23.24500084,88.29399872,481.71398926,39.99599838,3.31699991,6.00299978,296.50900269,450.61099243,5975.03222656,1452.83300781,617.16699219,83.47599792,1560.2220459,436.73599243,2285.05908203,1679.76196289
194,2021-07-14,5892.2421875,731.10302734,81.73699951,268.18600464,1312.5369873,1383.2869873,24.9489994,87.40299988,468.96200562,37.10300064,2.3210001,6.16099977,297.38101196,409.05200195,5925.63476563,1441.76000977,606.45098877,82.3710022,1559.14099121,433.86300659,2246.96801758,1637.34997559
195,2021-07-15,5718.31787109,701.90600586,85.2460022,267.84500122,1296.17797852,1341.70397949,26.71999931,90.1309967,475.01400757,36.57400131,2.10299993,6.05800009,298.06500244,412.11999512,5897.9609375,1424.92199707,604.90899658,82.04399872,1563.39904785,437.33898926,2222.88989258,1600.46594238
196,2021-07-16,5550.43994141,693.6829834,96.28500366,257.68399048,1271.57202148,1320.67004395,27.32799911,106.19499969,505.54998779,38.23600006,2.08500004,5.94700003,296.76998901,449.58200073,5876.72119141,1425.73999023,601.14202881,81.96099854,1567.47497559,442.54598999,2184.87792969,1625.24194336
197,2021-07-17,5393.96777344,677.97198486,107.83399963,241.20599365,1245.39294434,1322.09094238,27.05800056,101.59500122,482.78201294,38.29899979,2.07999992,5.80800009,295.74899292,419.85299683,6009.16503906,1422.89196777,633.82598877,81.05200195,1567.13500977,446.63800049,2181.92089844,1621.12402344
198,2021-07-18,5238.50097656,692.69702148,111.72599792,236.84700012,1224.87805176,1322.27197266,30.65099907,90.23799896,450.83700562,36.28099823,2.08899999,5.76100016,293.50100708,435.4670105,6026.30322266,1415.20898438,677.91400146,81.1309967,1568.15100098,450.32800293,2138.82202148,1589.02502441
