,Data,AMAZONAS_ear,CAPIVARI_ear,DOCE_ear,GRANDE_ear,IGUACU_ear,JACUI_ear,JEQUITINHONHA_ear,PARAGUACU_ear,PARAGUAI_ear,PARAIBA_ear,PARANA_ear,PARANAIBA_ear,PARANAPANEMA_ear,PARNAIBA_ear,SFRANCISCO_ear,TIETE_ear,TOCANTINS_ear,URUGUAI_ear
164,2020-06-13,756.60302734375,120.35399627685548,12.763999938964844,32790.75390625,2879.739013671875,1041.7430419921875,2359.239990234375,552.5079956054688,356.5530090332031,4136.166015625,2393.617919921875,43215.23046875,3889.35693359375,252.6009979248047,47708.87890625,6967.166015625,24697.03515625,1310.9539794921875
165,2020-06-14,759.7570190429688,120.76699829101562,12.81999969482422,32790.25390625,3098.925048828125,1053.1939697265625,2357.363037109375,553.0770263671875,355.06298828125,4122.1240234375,2371.0830078125,43258.42578125,3902.89599609375,252.6009979248047,47651.6171875,6967.173828125,24709.146484375,1407.470947265625
166,2020-06-15,759.3519897460938,121.36699676513672,12.880999565124512,32766.041015625,3265.972900390625,1061.883056640625,2355.486083984375,554.177978515625,353.7460021972656,4110.1337890625,2325.284912109375,43222.1640625,3909.68310546875,252.00999450683597,47602.734375,6947.09521484375,24689.283203125,1463.9749755859375
167,2020-06-16,758.3939819335938,122.08000183105467,12.704999923706056,32727.568359375,3408.0859375,1061.0140380859375,2353.922119140625,553.6090087890625,352.3139953613281,4094.737060546875,2310.14501953125,43239.7578125,3915.762939453125,252.00999450683597,47548.87109375,6930.1728515625,24653.8046875,1511.6820068359375
168,2020-06-17,760.447021484375,122.49299621582033,12.74899959564209,32747.83984375,3535.256103515625,1062.801025390625,2352.35791015625,553.6090087890625,350.9970092773437,4080.35693359375,2226.717041015625,43277.76171875,3920.89111328125,252.00999450683597,47478.56640625,6921.51806640625,24632.060546875,1546.5479736328125
169,2020-06-18,761.18798828125,122.94300079345705,12.909000396728516,32710.24609375,3629.44189453125,1062.541015625,2350.794921875,555.8480224609375,349.5669860839844,4065.218017578125,2166.573974609375,43267.19921875,3921.90087890625,252.00999450683597,47392.17578125,6900.81005859375,24614.830078125,1572.2860107421875
170,2020-06-19,760.6409912109375,123.3939971923828,12.85200023651123,32655.228515625,3710.037109375,1063.199951171875,2348.91796875,556.3809814453125,348.2510070800781,4052.927001953125,2106.4541015625,43242.99609375,3922.492919921875,252.00999450683597,47328.1484375,6872.85205078125,24599.193359375,1587.196044921875
171,2020-06-20,762.6279907226562,123.80599975585938,12.776000022888184,32649.15625,3791.929931640625,1068.2049560546875,2346.72900390625,556.3809814453125,346.9360046386719,4037.740966796875,2136.326904296875,43236.72265625,3919.072021484375,252.00999450683597,47260.58203125,6845.751953125,24611.591796875,1603.4029541015625
172,2020-06-21,763.9970092773438,124.10700225830078,12.689000129699709,32614.6015625,3869.343994140625,1072.4300537109375,2345.166015625,556.3809814453125,345.6210021972656,4023.4140625,2166.573974609375,43249.7890625,3916.114013671875,252.00999450683597,47190.8203125,6824.7978515625,24628.265625,1632.947021484375
173,2020-06-22,761.8839721679688,124.36900329589844,12.763999938964844,32406.75390625,3925.02587890625,1076.2769775390625,2343.2900390625,557.4829711914062,344.364013671875,4008.923095703125,2136.326904296875,43050.96875,3914.73095703125,252.00999450683597,47143.78515625,6784.90087890625,24594.4921875,1644.6529541015625
174,2020-06-23,760.4949951171875,124.81999969482422,12.897000312805176,32177.59765625,3965.556884765625,1075.7769775390625,2341.72705078125,557.4829711914062,342.9360046386719,3993.68896484375,2211.5859375,42951.15234375,3912.50390625,252.00999450683597,47074.109375,6773.58984375,24582.064453125,1652.4439697265625
175,2020-06-24,759.469970703125,125.12000274658205,13.09000015258789,31992.357421875,3993.35302734375,1074.8570556640625,2340.1640625,554.7109985351562,341.6220092773437,3978.26708984375,2249.59912109375,42830.05859375,3909.43798828125,252.00999450683597,46985.8671875,6772.48779296875,24558.990234375,1651.5679931640625
176,2020-06-25,757.3369750976562,125.56999969482422,13.145999908447266,31783.26953125,4035.68701171875,1078.6839599609375,2338.2880859375,553.6090087890625,340.4230041503906,3959.97705078125,2272.116943359375,42670.40234375,3909.090087890625,250.406005859375,46901.2890625,6771.1982421875,24537.513671875,1656.2159423828125
177,2020-06-26,755.406982421875,126.02100372314452,13.234000205993652,31606.53125,4061.950927734375,1080.5030517578125,2327.35009765625,550.3070068359375,339.1109924316406,3942.739990234375,2279.868896484375,42504.31640625,3912.326904296875,248.63499450683597,46820.14453125,6766.43310546875,24518.890625,1665.446044921875
178,2020-06-27,753.969970703125,128.8730010986328,13.234000205993652,31438.81640625,4118.57080078125,1080.741943359375,2325.47607421875,548.6740112304688,337.7980041503906,3927.7451171875,2325.284912109375,42350.08984375,3930.958984375,247.0059967041016,46807.8671875,6843.78515625,24526.357421875,1700.8170166015625
179,2020-06-28,754.9409790039062,131.76499938964844,13.012999534606934,31368.181640625,4182.9990234375,1082.9100341796875,2323.60107421875,548.1409912109375,336.42999267578125,3913.572021484375,2340.426025390625,42344.6953125,3993.1689453125,247.0059967041016,46726.859375,6887.9169921875,24543.212890625,1742.3260498046875
